Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Tugl	A	0103	Aenagzdars	X67A000-6	 	Di Pi Wa 		004	Wild	F6 V D	{ -3 }	(800+4)	[0000]	BD	13	32
Tugl	A	0104	Uel Zar	X89A000-3	 	Di Wa 		001	Wild	G1 IV	{ -3 }	(600+3)	[0000]	B	14	18
Tugl	A	0105	Rrurr	D659475-4	 	Ni 		302	Wild	G0 V D	{ -3 }	(730+2)	[5175]	B	8	42
Tugl	A	0109	Fa Gegdha	X611000-A	 	Di Ic Na 		004	Wild	M2 V	{ -1 }	(C00-1)	[0000]	B	7	-12
Tugl	E	0113	Akoengouthluen	X697000-5	 	Di 		025	Wild	G7 V	{ -3 }	(500-1)	[0000]	B	12	-5
Tugl	E	0115	Otothoekh	X844000-D	 	Di In 		015	Wild	K5 V	{ 0 }	(H00-2)	[0000]	BE	17	-34
Tugl	E	0119	Orlaegngeg	X626000-7	 	Di 		001	Wild	M1 V	{ -3 }	(500+1)	[0000]	B	14	5
Tugl	E	0120	Uel Satsugzakh	X63A000-B	 	Di Wa 		033	Wild	M2 V	{ -1 }	(D00+1)	[0000]	B	14	13
Tugl	I	0121	Aes Kazlluek	X9C4000-B	 	Di Fl 		025	Wild	G1 V D	{ -1 }	(F00-1)	[0000]	B	12	-15
Tugl	I	0122	Anell Gogh	C58787A-4	 	Pa Ri Ph 		201	Wild	G6 V M1 V M6 V	{ 0 }	(A78+4)	[5844]	BcCe	11	2240
Tugl	I	0128	Ogzang	E559000-6	 	Di 		001	Wild	G9 V M8 V D	{ -3 }	(500+2)	[0000]	B	11	10
Tugl	M	0132	Karrsuergae	X420000-9	 	De He Di Po 		002	Wild	K3 V M3 V	{ -2 }	(600-2)	[0000]	B	14	-12
Tugl	M	0133	Uengurrg	X664000-2	 	Di 		024	Wild	G3 V K8 V	{ -3 }	(300+1)	[0000]	B	15	3
Tugl	M	0134	Aes Guendan	X8A6000-B	 	Di Fl 		023	Wild	G1 V	{ -1 }	(A00-3)	[0000]	B	12	-30
Tugl	M	0136	Ilal	X546000-1	 	Di Pi 		002	Wild	F5 IV	{ -3 }	(900+1)	[0000]	BD	8	9
Tugl	A	0201	Ngirzgnurlogz	X555000-3	 	Di 		022	Wild	G2 V	{ -3 }	(600-1)	[0000]	B	17	-6
Tugl	A	0204	Naez	XACA000-A	 	Di Fl 		022	Wild	K1 V	{ -1 }	(800+1)	[0000]	B	10	8
Tugl	A	0205	Aroegsukgnu	X522000-D	 	Di He Na Pi Po 		005	Wild	M3 V	{ -1 }	(E00+1)	[0000]	BD	10	14
Tugl	A	0210	Odhonandon	D543000-7	 	Di Po 		004	Wild	F7 V	{ -3 }	(600-1)	[0000]	B	17	-6
Tugl	E	0212	Aeg Gzou	X596000-2	 	Di 		004	Wild	F5 V M5 V	{ -3 }	(B00+4)	[0000]	B	13	44
Tugl	I	0221	Aen Khue	X430000-D	 	De Di Po 		001	Wild	F7 V	{ -1 }	(700+1)	[0000]	B	11	7
Tugl	I	0226	Az Outs	X402000-C	 	Di Ic Va 		003	Wild	K6 V M2 V	{ -1 }	(600+3)	[0000]	B	15	18
Tugl	I	0227	Oezuerz	D646000-5	 	Di 		005	Wild	F8 V D	{ -3 }	(A00+1)	[0000]	B	14	10
Tugl	I	0228	Aesekong	X6696A8-0	 	Ni Ri 		102	Wild	F7 V D	{ -2 }	(C54+1)	[8461]	BC	9	240
Tugl	I	0229	Edhnga	E593000-3	 	Di 		011	Wild	F9 V M3 V	{ -3 }	(500+2)	[0000]	B	9	10
Tugl	M	0232	Aesgvael	X8A5000-8	 	Di Fl 		003	Wild	G0 V	{ -3 }	(C00+1)	[0000]	B	16	12
Tugl	M	0238	Fa Dhuerzaegoe	X203000-8	 	Di Ic Va Na 		014	Wild	M2 V	{ -3 }	(D00+1)	[0000]	B	18	13
Tugl	M	0239	Aerrokhs	X525000-C	 	Di Pi 		023	Wild	G6 V K5 V	{ -1 }	(E00+2)	[0000]	BD	18	28
Tugl	A	0303	Sunokhnurgh	X677000-5	 	Di 		005	Wild	K4 V	{ -3 }	(C00-4)	[0000]	B	18	-48
Tugl	A	0305	Egangekno	X674000-8	 	Di 		004	Wild	G7 V	{ -3 }	(B00-1)	[0000]	B	12	-11
