Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Dias	A	0103	Aladon	X657000-C	 	   Di Ga (NIL)		004	Wild	G0 V	-1	(F00+1)	[0000]	B	13	15
Dias	A	0104	Maxalla	X596000-7	 	    Di 		015	Wild	M1 V	-3	(600+3)	[0000]	B	13	18
Dias	A	0108	Sikora	X874000-3	 	    Di 		004	Wild	K2 V	-3	(800+2)	[0000]	B	11	16
Dias	E	0111	Mosul	E586886-4	 	   Pa Ri Ph (NIL)		201	Wild	M1 V	-1	(A75-1)	[7751]	BcCe	9	-350
Dias	E	0113	Toga	X674000-1	 	    Di 		012	Wild	K8 V M4 V	-3	(400-1)	[0000]	B	14	-4
Dias	E	0114	Ainor Lisea	D777000-6	 	    Di 		004	Wild	M3 V M9 V	-3	(700-4)	[0000]	B	11	-28
Dias	E	0116	Karaguuka	X789652-2	 	   Ni Ri 		114	Wild	G1 V M4 V	-2	(852+4)	[6471]	BC	8	320
Dias	E	0117	Zeranga	X100000-E	 	   Di Va 		004	Wild	A1 V	-1	(B00+4)	[0000]	B	7	44
Dias	E	0120	Tomsk	X424000-A	 	   Di Pi (NIL)		013	Wild	M3 V M6 V	-1	(D00+2)	[0000]	BD	7	26
Dias	I	0121	Cod	X553000-7	 	   Di Po 		004	Wild	M2 V M3 V	-3	(400+4)	[0000]	B	12	16
Dias	M	0137	Keeper	E556000-6	 	    Di 		003	Wild	K9 V	-3	(500+4)	[0000]	B	9	20
Dias	M	0138	Ranushana	X100000-A	 	   Di Va 		004	Wild	K3 V	-1	(B00+1)	[0000]	B	11	11
Dias	M	0139	Kiev	X530000-9	 	  De Di Po 		002	Wild	M2 V	-2	(500-3)	[0000]	B	10	-15
Dias	A	0202	Chipper	D792000-8	 	  Di He Pi (NIL)		003	Wild	M3 V	-3	(C00-1)	[0000]	BD	8	-12
Dias	A	0206	Rann	X89A000-6	 	  Di In Wa (NIL)		014	Wild	K4 V	-2	(B00-1)	[0000]	BE	11	-11
Dias	A	0207	Justi	X686510-1	 	  Ag Pr Ga Ni 		104	Wild	M2 V	-2	(741-1)	[4341]	BcC	10	-28
Dias	A	0209	Soyuz	X300000-E	 	  Di Na In Va 		001	Wild	M0 V	0	(C00-1)	[0000]	BE	12	-12
Dias	E	0211	Emma	X591000-3	 	   Di He (NIL)		002	Wild	M3 V	-3	(A00-3)	[0000]	B	12	-30
Dias	E	0213	Khaavu	X427000-A	 	    Di 		004	Wild	K4 V	-1	(C00-3)	[0000]	B	9	-36
Dias	E	0214	Baanis	X100000-C	 	   Di Va 		003	Wild	K5 V	-1	(600+2)	[0000]	B	13	12
